class,score
NDVI,7.100975158757167
RVI,7.074619488394183
BSI,7.01703206800836
MCARI_prev,6.307646249653385
B4,6.104224831598713
RVI_prev,5.957227820784814
GNDVI,5.857688781210603
NDWI,5.8576887812106015
ARVI,5.857611738298824
B12,5.844339272050244
NDVI_prev,5.8315233309938215
B3,5.7445794598063
NBRI,5.719639030881577
MSI_prev,5.657058189615061
NDI45,5.632401938123626
B2,5.591190596720402
PSSRa,5.546976686358745
NDVIre,5.539734642708245
NBRI_prev,5.530252821584976
B11,5.480169447807622
GCI,5.467072212441559
NDVIre_prev,5.4485996052310375
EVI_prev,5.426547959200706
GNDVI_prev,5.411551786788927
NDWI_prev,5.411551786788926
NIRv_diff,5.403840917578121
EVI,5.377397550354486
NDMI_prev,5.376699145088238
B5,5.375578740133042
PSSRa_prev,5.360958583362443
GCI_prev,5.317965477782264
MSI,5.278305445402798
NDTI,5.27048981372511
MTCI_prev,5.264600327525976
CIr,5.242741034689995
BSI_prev,5.241851134836047
NDMI,5.234463240724744
GCI_diff,5.230015889741407
NDTI_diff,5.22913943941133
NDI45_prev,5.228552748023485
MCARI,5.222857971000338
CIr_prev,5.181189443138861
IRECI_prev,5.122038371860033
CIr_diff,5.1194602469092905
MSI_diff,5.106602010203279
MTCI,5.102761180646352
IRECI,5.096017422389127
B6,5.084717543871268
NDTI_prev,5.074495405304168
NDSI_prev,5.073612860516721
GNDVI_diff,5.071561597938767
NDWI_diff,5.071561597938766
NIRv,5.066401593239385
B8,5.057831070994335
ARVI_prev,5.05615719411971
NDSI,5.05270794402056
PSSRa_diff,5.051835306312469
MTCI_diff,5.0462740180659535
NBRI_diff,5.046138430539972
NDI45_diff,5.03794961358877
RVI_diff,5.033213013525372
IRECI_diff,5.0124244664846636
NIRv_prev,5.01192720818203
NDMI_diff,4.996980775042916
NDSI_diff,4.971174377194634
MCARI_diff,4.970798794411066
BSI_diff,4.968303152697241
EVI_diff,4.967174330840792
NDVI_diff,4.953272363658505
B7,4.939018387101763
B8A,4.919413239632007
NDVIre_diff,4.899561769497212
ARVI_diff,4.885314616854071
